Outcome,,Proportion of extension services that go to crops primarily produced by women,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Outcome,,Numbers of female/male extension workers,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Output,GNDR-10,Number of local women participating in a substantive role or position in a peacebuilding process supported with USG assistance.,USAID (U.S. Agency for International Development),,Gender,,"For this indicator, a peacebuilding  process refers to formal (diplomatic or official) or informal (grassroots, civil society) activities aimed at preventing  or managing violent conflict, resolving conflict or the drivers of conflict, and to sustaining peace following an end to violent conflict.  This indicator is intended to capture the participation of local women in peacebuilding processes; to be counted in this indicator, women should be from the relevant conflict country, area, or region.  This indicator does not count the participation of women in U.S. or other third-party delegations to peace processes.                                                                                                                                                   To be counted in this indicator, participants should have a substantive role in the peacebuilding process or initiative, meaning a participant has realistic opportunities to share information and represent her own perspectives or those of a group she represents; to help define issues, problems, and solutions; and to influence decisions and outcomes associated with the process or initiative.  To the extent practicable,  individuals should be counted only once per fiscal year under this indicator.                                                          Examples:                 - persons serving on a local peace committee - persons representing a group or organization with official consultative status to a peace negotiation - person serving as an official delegate to a peace process","Womenâs participation in peacebuilding activities is posited as an important mechanism for increasing the gender-sensitivity of processes and outcomes, and for improving the overall strength and sustainability of such processes by ensuring focus on a broader set of issues relevant to preventing, managing, and resolving conflict and by bringing the skills and capacities of women to bear in these processes.",Number,,,,,,,"The primary data for this indicator will be provided by implementing partners  and collected through review of relevant project/program documents (e.g. quarterly and final reports, project monitoring records); however;  analysis of secondary data (e.g. newspapers, records of proceedings) or direct observation of processes by post also may also be useful.",,,Annual ,,,,,"Information generated by this indicator will be used to monitor and report on achievements linked to broader outcomes of gender equality and female empowerment and will be used for planning and reporting purposes by Agency-level, bureau-level and in-country program managers.  Specifically, this indicator will inform required annual reporting or reviews of the USAID Gender Equality and Female Empowerment Policy; U.S. National Action Plan on Women, Peace, and Security; and the U.S. Strategy to Prevent and Respond to Gender-Based Violence Globally, as well as Joint Strategic Plan reporting in the APP/APR, and Bureau or Office portfolio reviews. Additionally, the information will inform a wide range of gender-related public reporting and communications products, and facilitate responses to gender-related inquiries from internal and external stakeholders such as Congress, NGOs, and international organizations.",,,,,,,,"This indicator is a standard gender indicator and links primarily to Program Areas PS.6 (Conflict Mitigation and Stabilization) and DR.3 (Political Competition and Consensus-Building); however, it also may be relevant for activities under other Program Areas.",,,
Output,STIR-10,Number of innovations supported through USG assistance,USAID (U.S. Agency for International Development),,Governance,,"âInnovationsâ are products, processes, tools, approaches, service delivery models, and/or other interventions (broadly defined) that have the potential to achieve significant (not incremental) improvements in development outcomes versus existing alternatives, and are intended to improve the lives of ultimate beneficiaries. Here, innovations are defined not by their novelty, but by their potential to achieve significant improvements in development outcomes versus existing alternatives. - An innovation can be said to have âthe potential to achieve significant improvements in development outcomes versus existing alternativesâ if a robust theory of change linking the innovation to such outcomes can be articulated. The theory of change should be supported by evidence of the potential benefits of the innovation versus existing alternatives, and it should be tested and refined throughout the development of the innovation to ultimately substantiate this claim (i.e. rigorously demonstrate the innovationâs potential versus existing alternatives).  - Ultimate beneficiaries are host country individuals, especially the socially and economically disadvantaged, who are beneficiaries of USAID assistance and whose participation is essential to achieving sustainable development results. - Support through USG assistance includes human, financial, or institutional resources to support, in full or in part, the discovery, research, development, testing, or implementation of innovations. - STIR stands for the cross-cutting issue area of Science, Technology, Innovation and Research Instructions -  While this indicator is quantitative, operating units are requested to use the narrative boxes for this indicator (in FACTSInfo) to provide examples of the most-promising or highest-performing innovations supported during the reporting period, and the results these innovations have achieved. -  Innovations should be counted only once per annual, PPR reporting period for the life of any award(s) or agreement(s) supporting the innovation.  -  Report the innovation as ânewly supported this periodâ only if the innovation has been supported for the first time in this reporting period (i.e. an innovation ânewâ to USAID).  -  Report the innovation as âongoing support this periodâ if the innovation has ever been reported in a previous period, and the life of award(s) or agreement(s) supporting the innovation are active in the current reporting period.  -  If more than one award or agreement has been made in support of the same innovation in the same reporting period, the innovation should be counted only once (i.e. count number of unique innovations, not number of awards in support of an innovation). Similarly, where an innovation is implemented in multiple geographies within or across countries, the innovation should be counted only once for any and all implementation geographies (i.e. count number of unique innovations, not number of instances of implementation of an innovation). -  If a new award or agreement has been made in support of an innovation during the reporting period, that innovation should be counted only once within the reporting period - as âongoing supportâ - unless the new award or agreement is to support an iteration of the former innovation that is substantially different from the originally-supported innovation. In the latter case, the innovation should be reported separately as ânewly supportedâ. Known limitations - The aggregated version of this indicator should not be cumulated over multiple years (i.e. FY16 result is 500 innovations, FY17 result is 650 innovations - FY16-17 cannot be reported as 1150 innovations supported, as innovations with ongoing support will be double-counted.) - The ânewly-supported this periodâ disaggregate result may be cumulated over multiple years (i.e. FY16 result is 100 innovations, FY17 result is 75 innovations - FY16-17 can be reported as 175 innovations newly-supported, as innovations should only be counted as ânewâ once in any and all reporting periods.) - The indicator is purposefully defined broadly to ensure that the full range of innovations that could be supported through USG assistance can be captured. No assumptions should be made regarding comparability of innovations across specific parameters, nor regarding the value or depth of support for any innovation.","Innovations supported through USG assistance can lead to substantial improvements in achieving foreign policy objectives, including addressing development or humanitarian challenges. Tracking the number of innovations supported through USG assistance allows us to report the breadth of Operating Unit investment in innovation.",Whole Number (Incremental),,"New this period, Ongoing this period",,,,,"Data for this indicator should be collected throughout the life of any award or agreement made in support of an innovation, and the most recently-available data reported by OUs. Sources include official program documentation; for example, government records and reports or other documentation from Implementing Partner(s).",,,Annual ,,,,,"USAID Administrator's Leadership Council, Corporate Objective #4 USAID Global Development Lab Results Framework USAID and State STIR performance reporting",,,,,,,,STIR cross-cutting,,,
Outcome,STIR-11,Number of innovations supported through USG assistance with demonstrated uptake by the public and/or private sector,USAID (U.S. Agency for International Development),,Governance,,"This indicator counts the subset of innovations reported through STIR-1 that have demonstrated uptake at any point during the reporting period (including those whose uptake is ongoing). For the definition of âinnovations supported through USG assistanceâ, please see the indicator reference sheet for STIR-1. By using the results of STIR-2 as the numerator and STIR-1 as the denominator (within but not across reporting periods), OUs may calculate the percentage of innovations supported that have been adopted by the public and/or private sector, which is what most innovation programs are optimizing for.  - âDemonstrated uptakeâ includes any support for, or adoption by, the public and/or private sectors at any point during the reporting period.  - This does not include uptake by beneficiaries (i.e. individual customers or end users) or by bilateral or multilateral donor organizations (including adoption by USAID Missions).  - The public sector includes: Non-Governmental Organizations, Higher Education Institutions, Recipient Country Governments (including any department, office, subdivision, or other entity within the national or sub-national government of the country where the innovation is supported), and other organizations that are part of the public sector but not included in the categories above. - The private sector includes: Private organizations (including businesses and corporations; business, industry and trade associations; corporate foundations; social enterprises; financial institutions, investors, and impact investors), Private Philanthropy (including private foundations and philanthropists), and other organizations that are part of the private sector but not included in the categories above. - Blended adoption includes uptake by both the public and private sectors. This could be simultaneous uptake by both, or separate uptake by each, during a reporting period. - Examples of demonstrated uptake include: o Procurement or other financial support provided through public, private, or public-private agreements (i.e. non-revenue monies from non-donor sources), including - but not limited to - private investments, grants, loans, funds, or government bonds  o Regulatory approval or incorporation/institutionalization into a host country governmentâs national or sub-national guidelines, policies, or other legal frameworks (e.g. Essential Medicines List, Patient Safety Framework) o Market introduction (e.g. a product developed/supported by USAID is offered for sale, and providers trained, through the public or private sectors) o Distribution or delivery of an innovation or service to an end-user via the public and/or private sectors, such as distribution by community health workers or agricultural extension agents - STIR stands for the cross-cutting issue area of Science, Technology, Innovation and Research Instructions - This indicator is related to STIR-1, and counts the subset of innovations reported through STIR-1 that received any support for, or uptake by, the public and/or private sectors at any point during the reporting period. - While this indicator is quantitative, operating units are requested to use the narrative boxes for this indicator (in FACTSInfo) to provide examples of what contributes to the indicator, and the results that uptake of innovations has achieved. - An innovation being adopted in any form should be reported only once per reporting period (i.e. if the innovation is taken up by multiple actors or through multiple pathways during the reporting period, it should still only be counted once per period). This indicator does not count whether an innovation has ever been taken up - only whether that innovation has demonstrated uptake (new this period and/or ongoing from previous periods) by the public and/or private sectors during this reporting period. Known limitations -  This indicator should not be cumulated over multiple years (i.e. FY16 result is 300 innovations adopted, FY17 result is 250 innovations adopted - FY16-17 cannot be reported as 550 innovations adopted, as innovations that were reported as being taken up in previous periods, and which are still being taken up, will be double-counted.) -  As the indicator is purposefully defined broadly to ensure that the full range of uptake modalities can be captured, no assumptions should be made regarding comparability of the level or type of uptake across innovations, nor regarding the value or depth of support for, the public and/or private sectors for any innovation.","Innovations supported through USG assistance can lead to substantial improvements in executing against foreign policy objectives, including development or humanitarian challenges. Tracking the number of innovations supported through USG assistance that have been adopted by the public and/or private sector allows us to report the uptake of supported innovations by non-donor sources; a proxy for potential sustained demand for the innovation beyond USG support, and early indicator of potential for impact at scale.",Whole Number (Incremental),,,,,,,"Data for this indicator should be collected throughout the life of any award or agreement made in support of an innovation, and the most recently-available data reported by OUs. Sources include official program documentation; for example, government records and reports or other documentation from Implementing Partner(s).",,,Annual ,,,,,"USAID Administrator's Leadership Council, Corporate Objective #4 USAID Global Development Lab Results Framework USAID and State STIR performance reporting",,,,,,,,STIR cross-cutting,,,
Output,STIR-12,Number of peer-reviewed scientific publications resulting from USG support to research and implementation programs,USAID (U.S. Agency for International Development),,Information Dissemination and Knowledge Management,,"This output indicator captures annually the number of scientific publications resulting from USAID support to research and implementation programs. This indicator is NOT cumulative and captures only new publications not reported previously.   âPeer-reviewed publicationsâ are defined as and include:  scientific studies published in technical journals which conduct technical peer review of the submissions as part of their decision process; technical reports that are subject to external peer-review and then disseminated; and peer-reviewed conference proceedings.  This indicator does not include publications by USAID Staff.  STIR stands for the cross-cutting issue area of Science, Technology, Innovation and Research","This indicator tracks the creation and dissemination of new knowledge and information to expand the evidence base on development, which can then be used to inform stakeholders and decision-makers. It is one way to capture the direct results of USAID investments in research and progress towards the objective of increasing the use of scientific information for enhancing the impact of development programs.",Whole number (Incremental),,,,,,,Data source of this indicator will vary depending on the type of activity being reported (presentation or publication).  All peer reviewed publications (journal articles) resulting from USAID support must be submitted to the Development Exchange Clearinghouse (DEC). The DEC can serve as a data source for tracking publications.,,,Annual ,,,,,USAID Global Development Labâs Results Framework USAID and State STIP performance reporting,,,,,,,,STIR cross-cutting,,,
Output,YOUTH-1,Number of  youth at risk of violence trained in social or leadership skills through USG assisted programs,USAID (U.S. Agency for International Development),,Youth Development,,"Youth: Individuals aged 10 - 29 years of age Youth at risk of violence: For the purposes of this indicator,  youth at risk of violence are individuals who have associated community and family level stressors that create incentives for them to participate in or leave them vulnerable to recruitment by gangs or violent extremist organizations (VEO) or be victims of violence perpetuated by these groups.  These stressors include but are not limited to poverty, poor familial support, poor community participation, being out of school, low employability, having been a victim of violence, physically located in the gang or VEO community, or being marginalized, stigmatized, or discriminated against. Violence is inclusive of all forms, e.g. physical, psychological, and/or sexual. Social or leadership skills training: Training that focuses on skills that will enhance youthâs ability to interact within their community. This training includes a focus on management, leadership, life and/or soft skills, and/or civic engagement.  Training: For the purpose of this indicator, training is defined as an intervention/ session (virtual and/or in person) of at least one day that has learning objectives and focuses on enhancing a certain skill. A focus group or meeting can be considered under training if within the listed skills topics.  Individuals will be considered trained if they complete 80% of the training. Individuals completing less than 80% will not be counted.  Count each person once even if they receive multiple interventions","This indicator is linked to the USAID 2012 Youth in Development Policy outcome that youth fully participate in democratic and development processes, play active roles in peaceÂ­building and civil society, and are less involved in youth gangs, criminal networks, and insurgent organizations.",Number (Integer),,"Sex, Age10-14 Age (10-14, 15-19, 20-24, 25-29), Geographic Location (urban, rural)",,,,,"Direct Observation (As âat riskâ youth may not be able to formally sign up for training activities, this should also be a data source) Official Government Records Official reports from Implementing Partner(s) Qualitative methods such as Focus Groups or Interviews, and Surveys Direct Observation (As âat riskâ youth may not be able to formally sign up for training activities, this should also be a data source) Official Government Records Official reports from Implementing Partner(s) Qualitative methods such as Focus Groups or Interviews, and Surveys",,,Annual ,,,,,"This indicator will be used to monitor progress towards the Agency 2012 Youth in Development Policy. The Agency will be able to qualify and quantify its efforts to strategically plan and program for youth, particularly in countries that are experiencing a youth bulge. This indicator will allow for more specific quantifiable results than those captured in the Youth Key Issue Narrative.",,,,,,,,Cross-cutting Youth Indicator,,,
Output,YOUTH-2,"Number of laws, policies or procedures adopted or implemented with USG assistance designed to promote youth participation at the regional, national or local level.",USAID (U.S. Agency for International Development),,Youth Development,,"Youth: Individuals aged 10 - 29 years of age Laws, policies, and procedures that promote youth participation include but are not limited to areas of access (e.g. voting registration, access to loans, or creation of youth or youth--friendly departments), participation (e.g. ability to hold positions on boards or in community groups, run for office), and ability (e.g. to stay in school while pregnant), etc. USG assistance can be financial contributions as well as technical assistance. Technical assistance can include consultancy through individual meetings, virtual and/or in person, by a person or group that without which the law, policy, or procedure, would not have been adopted or implemented. One off meetings do not count unless high level launches or in depth advocacy, etc. For this indicator training is defined as an intervention/ session (virtual and/or in person) of at least two hours that focuses on enhancing a certain skill.  Adopted means any law, policy, or procedure, at any government level, that is newly drafted or revised and has received official approval (legislation/decree) by the relevant authority (legislative or executive body), even if not yet implemented. Implemented means any law, policy, or procedure, at any government level, that is fully put into effect by the relevant authority. (This includes implementing the effective repeal of a policy that acts to hinder youth participation.) For a law, policy, or procedure to be considered implemented, it  must be fully and effectively implemented by meeting the following criteria: (1) The policy must be in force in all intended geographic regions/locations and at all intended administrative levels with all intended regulations/rules in place; (2) Any ongoing activities or tasks required by the policy (e.g., various kinds of inspection, enforcement, collection of information/fees) are being executed at least 80% of the time. For example, a new business registration procedure that has been rolled out to just four of six intended provinces would not meet these criteria (not full), nor would a new customs law that is on the books but is not being regularly enforced at the border (not effective). Partially implemented laws, polices, and procedures will not be counted as implemented.  A policy is defined as a high-level overall plan embracing the general goals and acceptable procedures, e.g. legal frameworks, regulations, or institutional arrangements. A law is defined as a rule of conduct or action prescribed or formally recognized as binding or enforced by a controlling authority. A procedure is defined as a series of steps followed in a regular definite order, e.g. a legal or administrative procedure. Each law, policy, or procedure might be counted in adopted, implemented, or both categories. If a law, policy, or procedure was previously adopted (with or without USG assistance), but implemented due to USG assistance, it should only be counted under âimplementedâ. If the law, policy, or procedure has been adopted but not yet implemented, it should only be counted as adopted. A law, policy, or procedure that is replicated can be counted more than once if adopted/implemented specifically for other levels.","This indicator is linked to the USAID 2012 Youth in Development Policy outcome that youth have a stronger voice in, and are better served by local and national institutions, with more robust and youth friendly policies.",Number (Integer),,Local: adopted Local: implemented Regional: adopted  Regional: implemented National: adopted National: implemented,,,,,"- Direct Observation: Observation could include a site visit to observe implementation, e.g. if youth-friendly practices are being used at a health facility - Official Government Records - Official reports from Implementing Partner(s) - Qualitative methods such as Focus Groups or Interviews, and Surveys",,,Annual ,,,,,"This indicator will be used to monitor progress towards the Agency 2012 Youth in Development Policy. The Agency will be able to qualify and quantify its efforts to strategically plan and program for youth, particularly in countries that are experiencing a youth bulge. This indicator will allow for more specific quantifiable results than those captured in the Youth Key Issue Narrative.",,,,,,,,Cross-cutting Youth Indicator,,,
Output,DR.1.3-1,Number of judicial personnel trained with USG Assistance,USAID (U.S. Agency for International Development),,Governance,,"Judicial personnel Includes judges, magistrates, prosecutors, advocates, inspectors and court staff. Training refers to all training or education events whether short-term or long-term, in-country or abroad.                                                                                                                                People attending the same type of training, but on different subjects can be counted twice. Narrative reports should indicate the type of training, who the training is for, level of training, duration of training, what constitutes completion. It is required that trainings follow a documented curriculum with stated objectives and/or expected competencies; all data should be sex-disaggregated; and where possible, training should meet national or international standards.","Training of judicial personnel improves their ability to more effectively carry out their duties which improves the capacity of the judiciary to act as a check on government power. Training may also instill a sense of the value of and necessity for judicial independence, transparency and accountability in a democratic society.",Number of judicial personnel,,"Sex (number of males, females)",,,,,Annual review of project/program documents to determine the number of activities funded by the USG that aimed to train judges and judicial personnel and the number of individuals reached through attendance sheets and on-site observations by USG officials.,,,Annual ,,,,,This data indicates level of effort and can be assessed in comparison to number of officials that need training to determine coverage. INL and DRL use this indicator for internal learning and review to determine where current efforts are being supported and identify where there may be gaps on Rule of Law program working with judicial personnel.,,,,,,,,DR.1.3 Checks and Balances with Judicial Independence and Supremacy of Law,,,
Outcome,DR.1.5-1,Number of USG-assisted courts with improved case management systems,USAID (U.S. Agency for International Development),,Governance,,"Improved is defined as a case management system that has reduced the number of days required for a case to be dealt with by the appropriate actor within the system, whether it be going to trial or otherwise disposed of.                                                                                         Types of functional areas within case management systems include: controlling forms; establishing record control; case processing and record updating; scheduling case events; controlling and storing final records; and reporting management information.","Without reliable data, courts cannot deliver timely justice, control or monitor their own operations, or explain their operations to citizens. The lack of information on court operations makes citizens suspicious about the fairness, transparency, and integrity of the rule of law. Closed, secretive justice systems create the perception and often the reality of favoritism, malfeasance, and denial of basic rights. Thus, the introduction of high-quality court management information systems affects not only efficiency, but also effectiveness. It can have a significant impact on central ROL issues, such as human rights, access to justice, transparency, and development of democratic institutions and society. USG assistance for an improved case management system will lead to confidence in the judicial system which leads to increased confidence in the government; It can also increase confidence in the economic environment.",Number of USG-assisted courts,,,,,,,"Annual review of project/program documents, official government journals and documents, court and judicial records, USAID Missions, State Departmentâs INL program/project documents, and implementing partners.",,,Annual ,,,,,The number of improved case management systems could provide information useful in project planning because it indicates the capacity of a given court system.  It is also useful in reporting purposes to show level of effort to improve case management systems.,,,,,,,,DR.1.5 Fairness and Access to Justice,,,
Output,DR.2.1-1,Number of executive oversight actions taken by the legislature receiving USG assistance,USAID (U.S. Agency for International Development),,Governance,,"Executive oversight actions include legislative committee investigations, public hearings, formal question and answer sessions, and written interrogatories regarding an executive branch program, decision or action.  Operating Units should list the oversight actions taken in their PMP data reference sheet and in the indicator narrative of their PPR.  Operating units should also specify the type of assistance being provided to facilitate executive oversight actions. ",Oversight actions by the legislature signify efforts by the legislature to hold the executive branch accountable: a key function of democratic legislatures and a key component of a system of democratic checks and balances.,Number of oversight actions by legislature (higher is better),,,,,,,Legislative records,,,Annual ,,,,,To demonstrate increase in executive oversight actions by the legislature; indicative of the need for or effectiveness of USG assistance.,,,,,,,,DR.2.1 Legislative Authority- Function & Process,,,
Output,DR.2.4-1,Number of government officials receiving USG-supported anti-corruption training,USAID (U.S. Agency for International Development),,Governance,,"Training is defined as in-service technical training for civil servants and other public sector employees.  Anti-corruption training for government officials is defined as skill or knowledge transfer intended to reduce corruption or leakage in public administration (for example public financial management or ethics training).  The training must follow a documented curriculum with stated learning objectives and/or expected competencies for the trainees.  Operating Units should define training completion standards in their PMP data reference sheet and in the indicator narrative of the PPR.  For example, for short course completion, full attendance may be mandatory.  For longer courses, pre- and post-training testing may be used to ensure competency was achieved. ","Government employees are critical to public administration.  While systems can be designed to reduce incentives and opportunities for corruption and provide checks and safeguards against waste, fraud and abuse, individuals must have the skills to manage those systems and processes, and be aware of the ethical norms related to their roles.",Number of individuals,,"Sex (number of males, females)",,,,,Detailed course curriculum and attendance sheets; annual.,,,Annual ,,,,,Helps identify USGâs human capital investment to combat corruption and can inform the need to increase or decrease assistance in that area,,,,,,,,DR.2.4 Anti-Corruption Reforms,,,
Output,DR.2.4-2,Number of mechanisms for external oversight of public resource use supported by USG assistance,USAID (U.S. Agency for International Development),,Governance,,"Mechanisms are interventions or actions taken by parliaments, audit agencies, ombudsman, anti-corruption agenices, and non-governmental organizations.  External oversight refers to actions taken by those actors to monitor, disclose, highlight, discipline, investigate, or otherwise bring attention to public resource use in a particular country.Training is defined as in-service technical training for individuals affiliated with non-governmental organizations.  Anti-corruption training is defined as skill or knowledge transfer intended to reduce corruption or leakage in public administration (for example public expenditure tracking or ethics training).  The training must follow a documented curriculum with stated learning objectives and/or expected competencies for the trainees.                                                                Operating Units should define training completion standards in their PMP data reference sheet and in the indicator narrative of the PPR.  For example, for short course completion, full attendance may be mandatory.  For longer courses, pre- and post-training testing may be used to ensure competency was achieved.","Public resources are a critical source of funding for a country's overall development, security, health and welfare.  External oversight of the use of public resources, and funding therefrom, is necessary to ensure that those resources are utilized effectively and are not subject to waste, fraud and abuse.",Number of interventions,,,,,,,"Annual review of implementing partnersâ project/program documents, official government journals, news media, and on-site observation by USG officials.",,,Annual ,,,,,Helps identify whether USG support is expanding the number of oversight inteventions or actions of public resource use and can inform USAID strategies and learning on successful oversight interventions and on the need to increase or decrease assistance in that area,,,,,,,,DR 2.4 Anti-corruption Reforms,,,
Output,DR.2.4-3,Number of people affiliated with non-governmental organizations receiving USG-supported anti-corruption training,USAID (U.S. Agency for International Development),,Governance,,"Training is defined as in-service technical training for individuals affiliated with non-governmental organizations.  Anti-corruption training is defined as skill or knowledge transfer intended to reduce corruption or leakage in public administration (for example public expenditure tracking or ethics training).  The training must follow a documented curriculum with stated learning objectives and/or expected competencies for the trainees.                                                                Operating Units should define training completion standards in their PMP data reference sheet and in the indicator narrative of the PPR.  For example, for short course completion, full attendance may be mandatory.  For longer courses, pre- and post-training testing may be used to ensure competency was achieved.","Non-state actors play in key role in discovering fraud, waste or abuse in public administration.  While public systems can provide checks and safeguards against waste, fraud and abuse, individuals outside of government can deter corruption by monitoring performance and serving in a watchdog role.  In order to perform that function, individuals affiliated with non-governmental organizations must have the skills and understanding of public financial management to be able to uncover abuse and use it effectively to hold public officials accountable.",Number of individuals,,"Sex (number of males, females)",,,,,Detailed course curriculum and attendance sheets; annual.,,,Annual ,,,,,Helps identify USGâs human capital investment to combat corruption and can inform the need to increase or decrease assistance in that area,,,,,,,,DR.2.4 Anti-Corruption Reforms,,,
Outcome,DR.3.1-1,Number of USG-assisted consensus-building processes resulting in an agreement,USAID (U.S. Agency for International Development),,Governance,,"Consensus-building processes include: national, sub-national, and local dialogues, as well as referenda, and peace processes. Agreements can take the form of interim or final plans of action, constitutions, constitutional amendments, draft legislation, legislation on electoral frameworks issues, statutes, regulations, or peace agreements.   Each part of the consensus-building process that results in an agreement may be counted separately, each as one unit. For example, if an operating unit works on an interim and final action plan, which then result in an agreement, these can be counted as two processes.  Operating units should list the agreements in the data narrative of the PPR and in the data reference sheet in their PMP, along with the form of consensus-building processes leading to the agreement. ","Consensus-building processes increase the likelihood that parties will reach agreement. Over the long-term, consensus-building will result in an increase in mutual understanding and a decrease in societal conflict and instability, contributing to the development of a consensual, deliberative and participatory culture of democracy.",Number of processes,,Number of processes related to LGBTI issues Number of processes related to women's rights issues Number of processes related to religious freedom,,,,,"Confirm the support was provided through review of attendance sheets and on-site observation by USG officials during the program year.  Independently confirm that the agreements were reached through annual review of relevant official government journals or proclamations, and news media reports.",,,Annual ,,,,,"This indicator will suggest level of effort and effectiveness in consensus-building.  Planners and analysts can compare agreements reached to the total number of processes supported to get an indication of increasing or decreasing consensus in society, and may adjust program plans and allocate resources accordingly.  The sum of agreements facilitated worldwide with USG assistance can be used in reporting to demonstrate the positive impact of DG assistance.",,,,,,,,DR.3.1 Consensus-Building Processes,,,
Output,DR.3.1-2,Number of groups trained in conflict mediation/resolution skills or consensus-building techniques with USG assistance ,USAID (U.S. Agency for International Development),,Governance,,"âGroupsâ are entities (e.g. NGOs, government, womens's groups,  political parties, civil society organizations, unions, employers, factions, media, or ethnic or marginalized groups) involved in, or planning to be involved in, conflict mediation or consensus-building processes.   Training can be for any amount of time at a USG sponsored event, workshop or seminar.  People attending the same type of training but on different subjects can be counted twice.  Narrative reports should indicate the type of training (pre-service, in-service), who the training is for (community health worker, to upgrade a medical assistant to a nurse), level of training (basic, elementary, technical, university/certification), duration of training, what constitutes completion (for a short course, full attendance may be mandatory; for a longer course, there might be testing to ensure competencies are achieved; for certification, there may be a graduation).  It is required that training follow a documented curriculum with stated objectives and/or expected competencies; all data be sex-disaggregated; and that where possible, training meets national or international standards.","Training groups in conflict mediation/resolution skills or consensus building techniques will increase the possibility that consensus-building processes will result in an agreement.  Contributes to peaceful agreement on democratic reform, rules, and frameworks.",Number of groups that have received training,,Number of women's rights groups Number of groups working on LGBTI issues Number of indigenous people's groups Number of groups working on religious freedom,,,,,Direct observation from post and implementing partners.  Operating Units should determine whether implementing partners should use training registration sheets and/or attendance sheets.  This will depend on country context and the need to protect human rights defenders in-country.,,,Annual ,,,,,"This data indicates level of effort and when compared at post to ânumber of groups that need trainingâ will be useful for program planning and allocation of resources. Also, OUs that award CMM grants from the People-to-People reconciliation fund report on this indicator and it is one of the few ways to collectively capture results from this fund.",,,,,,,,DR.3.1 Consensus-Building Processes,,,
Output,DR.3.1-3,"Number of consensus building forums (multi-party, civil/security sector, and/or civil /political) held with USG Assistance",USAID (U.S. Agency for International Development),,Governance,,"Multi-party, civil/military, civil /political forums are events, seminars, meetings, and conferences that bring together groups in tension or conflict in an effort to generate greater understanding and consensus. Civil in this sense means âpublicâ and indicates a meeting, town hall, forum, etc. in which the public can communicate directly with representatives of parties (or government) or the security sector (military, police).  For purposes of this indicator, a series of regularly-recurring meetings/events that are part of the same process are counted as one event: e.g. a series of municipal government hearings to get feedback on a three-year development plan should be counted as one event.","Increased communication between groups in conflict or tension will enhance understanding and increase the possibility that consensus-building processes will result in an agreement. Contributes to peaceful agreement on democratic reform, rules, and frameworks.",Number of forums,,,,,,,Direct observation from post or implementing partners.  Operating Units should determine whether implementing partners should use registration sheets and/or attendance sheets.  This will depend on country context and the need to protect individuals attending forums.,,,Annual ,,,,,"This data indicates level of effort.  DRL uses this indicator for internal learning to determine where current efforts are being supported and identify where there may be gaps in consensus-building programs.  If there is a perceived need for consensus-building forums and this is a low number, then programmers might increase the number of consensus building forums they produce.",,,,,,,,DR.3.1 Consensus-Building Processes,,,
Output,DR.3.2-1,Number of election officials trained with USG assistance,USAID (U.S. Agency for International Development),,Governance,,"Number of elections officials trained with USG assistance in elections procedures and administration. An election official can be anyone from the highest election official-often a Central Election Commission-as well as regional officials and polling station workers.  Training can be of any duration and take the form of a USG sponsored event, workshop or seminar.  People attending the same type of training but on different subjects can be counted twice narrative reports should indicate the type of training (pre-service, in-service), who the training is for (community health worker, to upgrade a medical assistant to a nurse), level of training (basic, elementary, technical, university/certification), duration of training, what constitutes completion (for a short course, full attendance may be mandatory; for a longer course, there might be testing to ensure competencies are achieved; for certification, there may be a graduation).  It is required that training follow a documented curriculum with stated objectives and/or expected competencies; all data be sex-disaggregated; and that where possible, training meets national or international standards.","Training election officials is intended to increase their capacity to administer elections effectively, improving the overall quality of election administration.  This is expected to increase the credibility and legitimacy of the election process; and contribute to the development or maintenance of electoral democracy.",Number of elections officials,,"Sex (number of males, females)",,,,,Attendance sheets submitted through reports.,,,Annual ,,,,,"Indicates level of effort, and can be assessed in comparison to number of officials that need training (based on the total number of temporary officials hired or deployed to conduct the election) to determine coverage. Planners can use to help identify needs, and determine allocation of resources.",,,,,,,,"DR.3.2 Election, Political Processes",,,
